
  k           Obj      Vio          Mov             |dX|     ||dX||      |kkt|
  0     6.044e+03   -0.000    4.0e-01|4.0e-01    2.0e-01    7.0e+00    2.4e+03
  1     1.710e+05   -0.000    2.0e-01|4.0e-01    2.0e-01    4.7e+00    1.8e+04
  2     1.375e+05    0.000    2.0e-01|4.0e-01    2.0e-01    5.1e+00    2.7e+04
  3     1.123e+04    0.000    2.0e-01|4.0e-01    2.0e-01    4.3e+00    3.3e+03
  4     5.635e+03   -0.000    2.0e-01|4.0e-01    2.0e-01    3.0e+00    1.1e+03
  5     4.122e+03    0.038    2.0e-01|4.0e-01    2.0e-01    2.5e+00    4.1e+02
  6     3.773e+03   -0.000    2.0e-01|4.0e-01    2.0e-01    3.1e+00    4.2e+02
  7     2.644e+03    0.000    2.0e-01|4.0e-01    2.0e-01    2.6e+00    3.3e+02
  8     1.803e+03   -0.026    2.0e-01|4.0e-01    2.0e-01    2.7e+00    2.0e+02
  9     1.121e+03    0.020    2.0e-01|4.0e-01    2.0e-01    2.3e+00    8.3e+01
 10     8.666e+02   -0.000    2.0e-01|4.0e-01    2.0e-01    2.2e+00    3.4e+01
 11     7.272e+02    0.000    2.0e-01|4.0e-01    2.0e-01    2.3e+00    1.5e+01
 12     6.428e+02    0.000    2.0e-01|4.0e-01    2.0e-01    2.1e+00    1.6e+01
 13     5.793e+02   -0.000    2.0e-01|4.0e-01    2.0e-01    1.9e+00    1.3e+01
 14     5.245e+02    0.009    2.0e-01|4.0e-01    2.0e-01    1.7e+00    1.0e+01
 15     5.128e+02   -0.013    2.0e-01|4.0e-01    2.0e-01    1.6e+00    1.0e+01
 16     4.756e+02    0.000    2.0e-01|4.0e-01    2.0e-01    1.3e+00    7.5e+00
 17     4.522e+02    0.000    2.0e-01|4.0e-01    2.0e-01    1.4e+00    8.6e+00
 18     4.335e+02   -0.003    2.0e-01|4.0e-01    2.0e-01    1.4e+00    6.6e+00
 19     4.113e+02    0.000    2.0e-01|4.0e-01    2.0e-01    1.4e+00    4.7e+00
 20     4.042e+02   -0.006    2.0e-01|4.0e-01    2.0e-01    1.3e+00    2.7e+00
 21     3.912e+02    0.001    2.0e-01|4.0e-01    2.0e-01    1.2e+00    2.1e+00
 22     3.866e+02   -0.002    2.0e-01|4.0e-01    2.0e-01    1.2e+00    2.5e+00
 23     3.799e+02    0.000    2.0e-01|4.0e-01    2.0e-01    1.3e+00    2.6e+00
 24     3.754e+02   -0.004    2.0e-01|4.0e-01    2.0e-01    1.2e+00    2.6e+00
 25     3.653e+02    0.000    2.0e-01|4.0e-01    2.0e-01    1.2e+00    2.1e+00
 26     3.582e+02   -0.001    2.0e-01|4.0e-01    2.0e-01    1.1e+00    2.4e+00
 27     3.526e+02    0.000    2.0e-01|4.0e-01    2.0e-01    9.8e-01    1.1e+00
 28     3.499e+02   -0.002    2.0e-01|4.0e-01    2.0e-01    9.2e-01    1.3e+00
 29     3.466e+02    0.000    2.0e-01|4.0e-01    2.0e-01    9.3e-01    1.4e+00
 30     3.445e+02   -0.000    2.0e-01|4.0e-01    2.0e-01    8.5e-01    1.5e+00
 31     3.423e+02   -0.000    2.0e-01|4.0e-01    2.0e-01    9.3e-01    1.5e+00
 32     3.391e+02    0.002    2.0e-01|4.0e-01    2.0e-01    9.4e-01    1.4e+00
 33     3.379e+02   -0.000    2.0e-01|4.0e-01    2.0e-01    9.1e-01    1.2e+00
 34     3.353e+02   -0.000    2.0e-01|4.0e-01    2.0e-01    8.5e-01    1.3e+00
 35     3.332e+02    0.000    2.0e-01|4.0e-01    2.0e-01    9.0e-01    8.2e-01
 36     3.314e+02   -0.000    2.0e-01|4.0e-01    2.0e-01    9.2e-01    8.8e-01
 37     3.290e+02    0.000    2.0e-01|4.0e-01    2.0e-01    8.7e-01    8.9e-01
 38     3.288e+02   -0.003    2.0e-01|4.0e-01    2.0e-01    8.3e-01    9.1e-01
 39     3.252e+02    0.000    2.0e-01|4.0e-01    2.0e-01    8.4e-01    9.4e-01
 40     3.237e+02   -0.000    2.0e-01|4.0e-01    2.0e-01    8.1e-01    9.9e-01
 41     3.220e+02    0.000    2.0e-01|4.0e-01    2.0e-01    7.9e-01    1.0e+00
 42     3.206e+02   -0.000    2.0e-01|4.0e-01    2.0e-01    8.2e-01    8.3e-01
 43     3.191e+02   -0.000    2.0e-01|4.0e-01    2.0e-01    7.8e-01    6.2e-01
 44     3.180e+02    0.000    2.0e-01|4.0e-01    2.0e-01    7.3e-01    6.5e-01
 45     3.178e+02   -0.001    2.0e-01|4.0e-01    2.0e-01    6.8e-01    6.0e-01
 46     3.164e+02   -0.000    2.0e-01|4.0e-01    2.0e-01    6.0e-01    5.3e-01
 47     3.156e+02    0.001    2.0e-01|4.0e-01    2.0e-01    6.2e-01    4.5e-01
 48     3.154e+02   -0.000    2.0e-01|4.0e-01    2.0e-01    5.6e-01    4.2e-01
 49     3.147e+02    0.001    2.0e-01|4.0e-01    2.0e-01    5.6e-01    3.1e-01
 50     3.147e+02   -0.000    2.0e-01|4.0e-01    2.0e-01    5.4e-01    2.6e-01
 51     3.144e+02   -0.000    2.0e-01|4.0e-01    2.0e-01    4.2e-01    2.5e-01
 52     3.142e+02    0.000    2.0e-01|4.0e-01    1.9e-01    3.4e-01    2.5e-01
 53     3.149e+02   -0.001    2.0e-01|4.0e-01    2.0e-01    2.9e-01    4.2e-01
 54     3.140e+02   -0.000    2.0e-01|4.0e-01    2.0e-01    3.5e-01    5.6e-01
 55     3.139e+02   -0.000    2.0e-01|4.0e-01    2.0e-01    4.1e-01    6.5e-01
